Timestamp,GPS Values(km/h)
2023-11-16 14:45:01.756449,Latitude:22.5880371026398 Longitude:114.15248422116532 Speed:28.471086678571606
2023-11-16 14:45:31.773935,Latitude:22.59049831632596 Longitude:114.19315165047051 Speed:21.909387571224993
2023-11-16 14:46:01.814037,Latitude:22.517324787197204 Longitude:114.11506552117699 Speed:42.8580539757424
2023-11-16 14:46:31.849760,Latitude:22.57661865653001 Longitude:114.13103243622052 Speed:39.29587951363111
2023-11-16 14:47:01.902485,Latitude:22.52318848437297 Longitude:114.19594027271788 Speed:45.87213428634026
2023-11-16 14:47:31.935049,Latitude:22.52237676539416 Longitude:114.16764638656369 Speed:24.80962768120748
2023-11-16 14:48:01.946795,Latitude:22.552252421636375 Longitude:114.18270639906174 Speed:55.09104903023144
2023-11-16 14:48:31.983480,Latitude:22.51915038442877 Longitude:114.11810019517497 Speed:38.769448058612426
2023-11-16 14:49:02.020505,Latitude:22.55536711373327 Longitude:114.16562346174128 Speed:39.86381624821695
2023-11-16 14:49:32.058727,Latitude:22.51443861304847 Longitude:114.18889969435097 Speed:24.19193805839521
2023-11-16 14:50:02.094358,Latitude:22.525705186709178 Longitude:114.15737041543332 Speed:48.64349988105323
2023-11-16 14:50:32.133242,Latitude:22.55630232265141 Longitude:114.11095023134864 Speed:34.010512672180084
2023-11-16 14:51:02.169506,Latitude:22.56817797163591 Longitude:114.16566289961057 Speed:45.119188531795885
2023-11-16 14:51:32.206656,Latitude:22.5055407141872 Longitude:114.18894570344078 Speed:23.47599963687444
2023-11-16 14:52:02.245123,Latitude:22.590247318016694 Longitude:114.185866468599 Speed:51.1370444734133
2023-11-16 14:52:32.281606,Latitude:22.52369997326985 Longitude:114.1277345559466 Speed:57.44709278328939
2023-11-16 14:53:02.317339,Latitude:22.540530986377494 Longitude:114.14312385034388 Speed:41.64554210113536
2023-11-16 14:53:32.354381,Latitude:22.567430783754414 Longitude:114.15445722014077 Speed:40.61473768384162
2023-11-16 14:54:02.389426,Latitude:22.582087438427653 Longitude:114.12526884711447 Speed:57.52449813287532
2023-11-16 14:54:32.426361,Latitude:22.556392437718554 Longitude:114.10213563321115 Speed:21.103562603407305
2023-11-16 14:55:02.435100,Latitude:22.583414818985776 Longitude:114.131794667108 Speed:22.225492068370983
2023-11-16 14:55:32.470341,Latitude:22.54695467933137 Longitude:114.10165788647694 Speed:40.64391440263732
2023-11-16 14:56:02.506210,Latitude:22.505791822332995 Longitude:114.11850946882113 Speed:39.72742388387255
2023-11-16 14:56:32.522192,Latitude:22.503854107471412 Longitude:114.13290199500157 Speed:59.64544275209502
2023-11-16 14:57:02.555038,Latitude:22.594439707646973 Longitude:114.1821645876467 Speed:34.29064970619455
2023-11-16 14:57:32.571355,Latitude:22.543501171344122 Longitude:114.10073423190532 Speed:39.574327843585934
2023-11-16 14:58:02.611081,Latitude:22.565164603995715 Longitude:114.16341078812553 Speed:52.97559324632755
2023-11-16 14:58:32.642020,Latitude:22.502851772412818 Longitude:114.11235996663196 Speed:57.686547524290106
2023-11-16 14:59:02.685736,Latitude:22.561653570691533 Longitude:114.16846585589165 Speed:52.35241924889265
2023-11-16 14:59:32.729258,Latitude:22.560117163865364 Longitude:114.14218153423693 Speed:33.02072952211391
